paymentId,modifiedAt,installmentNumber,installmentPaymentId,status,createdAt,paymentAmount,createdBy,paymentCcy,userId,loanId,orgId,paymentAt,countryId,modifiedBy
b2511ec4-cd31-4eb5-91a1-5b1929cd61e4,2021-01-16T05:58:39.267Z,3.0,51099700-67dc-491c-88de-0172a7c7d83f,PAID,2021-01-16T05:58:39.267Z,190.0,349e7ca9-bb24-4be1-9ae0-d6c5e158b5bf,MXN,349e7ca9-bb24-4be1-9ae0-d6c5e158b5bf,MX-27-2,na,2021-01-16T05:58:36.689Z,mx,349e7ca9-bb24-4be1-9ae0-d6c5e158b5bf
af6202c4-d0fc-453a-b4bc-de7ce3132939,2021-04-13T13:57:59.543Z,1.0,58ae5945-49ca-48e7-8b23-68d45c289719,PAID,2021-04-13T13:57:59.543Z,410.0,1ef4661b-f614-41b4-bcb3-6100df4fd2aa,MXN,1ef4661b-f614-41b4-bcb3-6100df4fd2aa,MX-436-6,na,2021-04-13T13:57:59.332Z,mx,1ef4661b-f614-41b4-bcb3-6100df4fd2aa
e67ee73e-8500-4cf1-a1c8-a9418e8065c2,2021-05-27T18:01:31.988Z,1.0,df34cd6b-4b0c-4656-a093-545375cbc32f,PAID,2021-05-27T18:01:31.988Z,1090.0,26644bc1-a041-4aec-aef4-0c2f326b498c,MXN,26644bc1-a041-4aec-aef4-0c2f326b498c,MX-2487-3,na,2021-05-27T18:01:29.344Z,mx,26644bc1-a041-4aec-aef4-0c2f326b498c
1df89d59-2036-4a0e-959b-1c3ba2633887,2021-01-30T01:08:37.816Z,1.0,2af2efa9-360e-4fa8-8be6-7bf233fe3f85,PAID,2021-01-30T01:08:37.816Z,520.0,6c5bcb8e-2360-4557-9cb0-f679f0c658e6,MXN,6c5bcb8e-2360-4557-9cb0-f679f0c658e6,MX-118-3,na,2021-01-30T01:08:35.739Z,mx,6c5bcb8e-2360-4557-9cb0-f679f0c658e6
a54b3095-4af4-4476-8ee7-ee334766907e,2021-03-31T01:33:27.970Z,4.0,78ec9687-e0dd-441d-8749-039518f409da,PAID,2021-03-31T01:33:27.970Z,350.0,e71d831a-dfd9-4338-8b00-7c15c00eaf0d,MXN,e71d831a-dfd9-4338-8b00-7c15c00eaf0d,MX-946-3,na,2021-03-31T01:33:26.149Z,mx,e71d831a-dfd9-4338-8b00-7c15c00eaf0d
f8146149-9604-4d2d-a7ed-76bf9623207c,2021-05-29T16:56:18.338Z,2.0,9c1a19ec-b4d2-48c8-affe-4046135bcdca,PAID,2021-05-29T16:56:18.338Z,590.0,0b885232-694b-4804-9aeb-0f94e91f310b,MXN,0b885232-694b-4804-9aeb-0f94e91f310b,MX-212-4,na,2021-05-29T16:56:17.199Z,mx,0b885232-694b-4804-9aeb-0f94e91f310b
9d683e48-e851-40de-b841-6b305a185cf8,2021-04-05T03:29:49.939Z,3.0,9128a0d9-093b-4cf9-9cf6-936078f582f7,PAID,2021-04-05T03:29:49.939Z,190.0,9a32a9a2-cba0-4ff8-b2d6-ef3aa32d551a,MXN,9a32a9a2-cba0-4ff8-b2d6-ef3aa32d551a,MX-456-2,na,2021-04-05T03:29:47.297Z,mx,9a32a9a2-cba0-4ff8-b2d6-ef3aa32d551a
97fce7af-64c0-430a-aab5-42b85daabb4d,2021-04-12T18:50:55.771Z,1.0,330ea231-7614-4c4f-bf1f-1932d15e5dfc,PAID,2021-04-12T18:50:55.771Z,520.0,04190eca-2e2b-42c4-953f-1e57bbd3c05a,MXN,04190eca-2e2b-42c4-953f-1e57bbd3c05a,MX-939-3,na,2021-04-12T18:50:53.392Z,mx,04190eca-2e2b-42c4-953f-1e57bbd3c05a
f62f46c7-a3d4-4faa-92e0-82c7291c8208,2021-05-31T23:40:17.399Z,1.0,78c6e552-f122-44b9-be7f-37db91d6c29c,PAID,2021-05-31T23:40:17.399Z,450.0,4ffb5637-83a1-4990-9e19-1a1cb2c04356,MXN,4ffb5637-83a1-4990-9e19-1a1cb2c04356,MX-4552-1,na,2021-05-31T23:40:15.649Z,mx,4ffb5637-83a1-4990-9e19-1a1cb2c04356
b1b01b80-c6b7-4532-a00d-5bff16ce77cf,2021-05-16T21:22:12.867Z,3.0,896288d9-d73b-4ad9-9048-cf60565bcfec,PAID,2021-05-16T21:22:12.867Z,580.0,b050a029-c671-4cbf-9762-b69906be2637,MXN,b050a029-c671-4cbf-9762-b69906be2637,MX-412-3,na,2021-05-16T21:22:10.967Z,mx,b050a029-c671-4cbf-9762-b69906be2637
